Datum,Klicks,Impressionen,CTR,Position
2026-06-13,0,10,0%,12.2
2026-06-14,0,7,0%,22.3
2026-06-15,0,7,0%,6.3
2026-06-16,0,16,0%,31.2
2026-06-17,0,7,0%,60.3
2026-06-18,0,9,0%,19.3
2026-06-19,0,9,0%,10.1
2026-06-20,0,8,0%,8.6
2026-06-21,0,4,0%,18.2
2026-06-22,0,9,0%,15.1
2026-06-23,0,17,0%,31.9
2026-06-24,0,25,0%,31.7
2026-06-25,1,17,5.88%,29
2026-06-26,0,7,0%,37.1
2026-06-27,0,11,0%,23.5
2026-06-28,0,11,0%,21.9
2026-06-29,0,18,0%,37.5
2026-06-30,0,18,0%,35.6
2026-07-01,0,16,0%,31.6
2026-07-02,0,10,0%,6.9
2026-07-03,0,40,0%,41.7
2026-07-04,0,29,0%,37.6
2026-07-05,0,25,0%,25.6
2026-07-06,0,16,0%,22.6
2026-07-07,0,21,0%,27.8
2026-07-08,0,15,0%,35.5
2026-07-09,0,20,0%,34
2026-07-10,0,13,0%,27.2
2026-07-11,0,6,0%,14.8
2026-07-12,0,13,0%,8.3
2026-07-13,0,10,0%,12.7
2026-07-14,0,12,0%,6.9
2026-07-15,0,16,0%,22.1
2026-07-16,1,16,6.25%,6.7
2026-07-17,0,20,0%,6.5
2026-07-18,0,16,0%,12.5
2026-07-19,0,18,0%,14.6
2026-07-20,0,13,0%,13.9
2026-07-21,0,18,0%,12.3
2026-07-22,0,18,0%,24.9
2026-07-23,0,8,0%,10.4
2026-07-24,0,10,0%,8.4
2026-07-25,0,12,0%,16.4
2026-07-26,0,20,0%,12.4
2026-07-27,0,29,0%,12.1
2026-07-28,0,12,0%,14.8
2026-07-29,0,18,0%,29.8
2026-07-30,0,14,0%,7.6
2026-07-31,0,11,0%,7.2
2026-08-01,0,9,0%,16.8
2026-08-02,0,12,0%,11.1
2026-08-03,0,14,0%,21.9
2026-08-04,0,9,0%,9.3
2026-08-05,1,15,6.67%,12
2026-08-06,0,6,0%,10.7
2026-08-07,0,9,0%,10.4
2026-08-08,0,12,0%,11.7
2026-08-09,0,6,0%,9.5
2026-08-10,0,12,0%,10.7
2026-08-11,1,13,7.69%,9.6
2026-08-12,0,11,0%,32.4
2026-08-13,1,9,11.11%,18.3
2026-08-14,0,8,0%,5.8
2026-08-15,1,9,11.11%,5
2026-08-16,0,15,0%,7.3
2026-08-17,0,12,0%,7.2
2026-08-18,2,14,14.29%,9.1
2026-08-19,0,19,0%,15.9
2026-08-20,0,20,0%,5.2
2026-08-21,0,10,0%,6.3
2026-08-22,0,9,0%,10.3
2026-08-23,1,11,9.09%,9.9
2026-08-24,1,22,4.55%,6
2026-08-25,0,10,0%,21.1
2026-08-26,0,18,0%,16.2
2026-08-27,0,11,0%,14.8
2026-08-28,0,10,0%,5.4
2026-08-29,0,13,0%,8.7
2026-08-30,0,16,0%,10.2
2026-08-31,1,16,6.25%,6.6
2026-09-01,0,15,0%,12.5
2026-09-02,0,13,0%,36.2
2026-09-03,0,14,0%,10.4
2026-09-04,2,14,14.29%,13.9
2026-09-05,1,18,5.56%,13.7
2026-09-06,0,9,0%,6.1
2026-09-07,0,16,0%,5.9
2026-09-08,1,46,2.17%,5.5
2026-09-09,0,23,0%,10
2026-09-10,0,27,0%,6.3
2026-09-11,0,57,0%,5.6
2026-09-12,0,46,0%,6.9
