Land,Klicks,Impressionen,CTR,Position
Deutschland,11,479,2.3%,26
Schweiz,2,36,5.56%,17.06
USA,1,276,0.36%,6.83
Chile,1,5,20%,7.2
Schweden,0,64,0%,9.22
Vereinigtes Königreich,0,42,0%,8.48
Indien,0,40,0%,24.85
Österreich,0,34,0%,18.15
Dänemark,0,27,0%,5.3
Vietnam,0,25,0%,16.08
Irak,0,19,0%,6.32
Finnland,0,17,0%,7.71
Polen,0,15,0%,9.6
Spanien,0,14,0%,12.43
Kolumbien,0,14,0%,23.86
Australien,0,13,0%,4.62
Brasilien,0,13,0%,9.08
Indonesien,0,13,0%,34.62
Italien,0,11,0%,6.73
Russland,0,11,0%,8.55
Kanada,0,11,0%,13.45
Philippinen,0,11,0%,22.45
Hongkong,0,10,0%,6
Taiwan,0,10,0%,7.2
Südkorea,0,10,0%,27.2
Ungarn,0,9,0%,15.89
Japan,0,8,0%,10.5
Belgien,0,7,0%,5.71
Pakistan,0,7,0%,10.29
Bangladesch,0,7,0%,24.71
Peru,0,6,0%,8
Türkei,0,6,0%,28
Frankreich,0,5,0%,6
Ägypten,0,5,0%,6.2
Niederlande,0,5,0%,8.6
Kroatien,0,5,0%,19.8
Uganda,0,4,0%,4.5
Äthiopien,0,4,0%,5.75
Norwegen,0,4,0%,8.5
Kenia,0,4,0%,14
Mexiko,0,4,0%,16.75
Kasachstan,0,4,0%,20
Israel,0,4,0%,33
Portugal,0,3,0%,4.33
Jordanien,0,3,0%,5.67
Ukraine,0,3,0%,6
Guatemala,0,3,0%,12.33
Estland,0,3,0%,30.67
Argentinien,0,3,0%,35.33
Thailand,0,3,0%,41.67
Rumänien,0,2,0%,3
Slowakei,0,2,0%,3.5
Litauen,0,2,0%,4.5
Mosambik,0,2,0%,5
Serbien,0,2,0%,5
Kongo-Kinshasa,0,2,0%,5.5
Georgien,0,2,0%,5.5
Costa Rica,0,2,0%,6
Tschechien,0,2,0%,6
Griechenland,0,2,0%,6.5
Grönland,0,2,0%,6.5
Ruanda,0,2,0%,6.5
Vereinigte Arabische Emirate,0,2,0%,8
Slowenien,0,2,0%,8.5
Burundi,0,2,0%,9
Saudi-Arabien,0,2,0%,11.5
Belarus,0,2,0%,18
Iran,0,2,0%,27
Marokko,0,2,0%,28
Malaysia,0,2,0%,36.5
Singapur,0,2,0%,38
Paraguay,0,2,0%,50
Algerien,0,2,0%,53.5
Aruba,0,1,0%,2
Island,0,1,0%,2
Bahamas,0,1,0%,3
Irland,0,1,0%,4
Luxemburg,0,1,0%,6
Nigeria,0,1,0%,6
Sudan,0,1,0%,6
Südafrika,0,1,0%,6
Macau,0,1,0%,7
Mazedonien,0,1,0%,7
Montenegro,0,1,0%,7
Jamaika,0,1,0%,8
Senegal,0,1,0%,10
Osttimor,0,1,0%,11
Nepal,0,1,0%,18
Bolivien,0,1,0%,50
Benin,0,1,0%,58
El Salvador,0,1,0%,79
